[META]
id:       CPR 15.4qtpl
label:    CPR 15.4qtpl
name:     Contract — Soknopaiu Nesos (Arsinoites)
genre:    contracts
date:     11 CE
language: Greek (Koiné)
found:    Soknopaiu Nesos (Arsinoites)
held:     
shelf:    
content:  Contract from Soknopaiu Nesos (Arsinoites) (11 CE)
# hgv-keywords: Vertrag — Kauf — Haus — Kopie — griechische Übersetzung eines demotischen Vertrages — Idioslogos — Prozeß (Nestnephis)
tm:       9912
source:   https://papyri.info/ddbdp/cpr;15;4qtpl
lat:      29.5334745
lon:      30.668916

[GREEK]
r.1    … κατὰ τὸ δυν[α]τ[όν]. ἔτους μα τῆς Καίσαρος κρατήσεως θεοῦ υἱοῦ μηνὸς Ἁθὺρ κδ. λέγει ἐμν[ί]θης ὀρπ[έε]ι τοπέεις [προφή]της ἐ[κ
r.2    προφή]το[υ ] …
r.3    … [ Σαταβοῦτ]ι Ἑργέως νεωτέρου μητρὸς Σαταβοῦτος· πέπεικάς με ἀργυρί[ωι τ]ῇ τιμῆι τῆς ὑπαρχούσης μοι [οἰκ]ίας ᾠκοδομημένης ἐ[στεγ]ασμένης
r.4    [τεθυρω]μ[ένης ] …
r.5    … [ τῶ]ν συνκυρόντων πάντων ἐν κ[ώ]μῃ Σούχου νήσου Σοκνοπαί[ου θεο]ῦ μεγάλου μεγάλου τῆς Ἡ[ρακ]λείδου μερίδος τοῦ Ἀρσιν[ο]ί[του ν]ομοῦ ἐπὶ τοῖς
r.6    οὖ[σι μέτροις ] …
r.7    … [ βασιλι]καί. σὰ δὲ ἔστιν ἀπὸ τὴς ἐνεσ[τώσ]ης ἡμέρας ἐπὶ τὸν ἅπαντ[α χρό]νον καὶ οὐκ ἐξέσται μοι οὐδʼ [ἄλλῳ] οὐδενὶ ἁπλῶς κυριεύε[ιν αὐτ]ῶν πλὴν
r.8    σοῦ ἀ[πὸ] τ[ῆς ] …
r.9    … [ ἐπάνα]γκον ἀνεπιεικὲς καὶ βεβα[ι]ώ[σω σ]οι αὐτὰ ἀπό τε συγγραφῶν πα[σῶν καὶ συ]ναλλαγμάτων πάντω[ν καὶ πα]ντὸς εἴδους ἐάν τε
r.10   ἀδ[ελφὸς ἢ] ἀδελφὴ ἢ υἱὸς ἢ θ[υγ]ά[τηρ ] …
r.11   … κατʼ αὐτῶν σ[υ]γγραφαὶ π[ᾶσαι καὶ αἱ γε]γονυῖαι τῷ τε πατρ[ὶ καὶ τῆι μητρί] μου κατʼ αὐτῶν συ[γγραφαὶ πᾶσαι] καὶ συγγραφαὶ πᾶσ[αι καὶ]
r.12   συναλλάγματα π[ά]ν[τα ] …
r.13   … περὶ αὐτῶν ποιήσω. [ἐπικελεύ]ει γυνὴ ἱέρεια Σούχου [Τομσάεις πα]τρὸς ἐμνίθου Χ[αι]ρήμ[ονος
r.14   μητ]ρὸς Ταμεσθασύτμιος [ἡ τούτου γυ]νὴ λέγο[υσα ] …
r.15   … [ Θ]ε[μί]στου μερ[ί]δος π[ρᾶσις καὶ ἀποστασίου ο]ἰκίας καὶ πρ[ο]νησί[ου καὶ αἰθρίου καὶ] τόπων ψι[λῶν καὶ τῶν συνκυρόντων ][π]άντων
r.16   ἐ[ν ] …
r.17   … ἡ τοῦ Χαιρήμον[ος γυνὴ Τομσάει]ς Χαιρήμονος μητρὸς Τ[αμεσθασύτ]μιος
r.18   … [ Θ]άσιτ[ος προφήτης Σαταβ]οῦτι [Ἑρι]οψήμι[ος μητρὸς Σαταβοῦτος τὴ]ν ὑπάρ[χουσαν ] …
r.19   … [ πο]τε ἔστιν μ[έτροις ] …
r.20   … [ πάσ]ῃ βεβαιώσε[ι ] …
r.21   … [ αὐτ]ὴν γράμ[ματα ] …

[TRANSLATION]
1     … so far as is possible. Year 41 of the rule of Caesar, son of a god, in the month Hathyr 24. Emnithes son of Orpees, topees, prophet from
2     a prophet …
3     … to Satabous son of Hergeus the younger, his mother being Satabous: you have persuaded me with silver, as the price of the house belonging to me, built, roofed,
4     furnished with doors …
5     … of all the appurtenances, in the village of Souchos-island of Soknopaios the great great god of the Herakleides division of the Arsinoite nome, with the
6     existing measurements …
7     … royal (dues). And it is yours from the present day for all time, and it shall not be permitted to me nor to any other at all to be owner of them, except
8     you, from the …
9     … of necessity unconditionally, and I will guarantee them to you against all deeds and all contracts and every kind, whether
10    brother or sister or son or daughter …
11    … against them all deeds, and the deeds made by my father and by my mother against them, all deeds, and all deeds and
12    all contracts …
13    … concerning them I will do. There commands it the woman, priestess of Souchos, Tomsaeis daughter of Emnithes son of Chairemon,
14    mother being Tamesthasytmis, his wife, saying …
15    … of the Themistos division, sale and cession of a house and forecourt and courtyard and bare plots and of all the appurtenances,
16    in …
17    … the wife of Chairemon, Tomsaeis daughter of Chairemon, her mother being Tamesthasytmis
18    … Thasis the prophet to Satabous son of Heriopsemis, mother being Satabous, the existing …
19    … wherever it is, with the measurements …
20    … with every guarantee …
21    … it, documents …
