[META]
id:       P.Oxy. 19.2243A
label:    P.Oxy. 19.2243A
name:     Receipt — Oxyrhynchites, Ägypten
genre:    receipts
date:     590 CE
language: Greek (Koiné)
found:    Oxyrhynchites, Ägypten
held:     
shelf:    
content:  Receipt from Oxyrhynchites, Ägypten (590 CE)
# hgv-keywords: Quittungen — Ausgaben — Großgrundbesitz
tm:       22191
source:   https://papyri.info/ddbdp/p.oxy;19;2243A
lat:      28.819983
lon:      30.889994

[GREEK]
r.1    [παρὰ Ἰ]ωάννου υἱοῦ Ταλίου καὶ [κοι]νωνῶν πωμ[αριτῶν][ ἀπὸ ] … νομίσματα λ
r.2    [παρὰ] Στεφάνου καὶ κληρονόμων Πε[τ]ρωνίου βοηθοῦ ἀπὸ τῆς α[ὐτῆς] πόλεως σίτου ἀρτάβαι λδ 𐅵 δ χοίνικες ε νομίσματα γ 𐅵 δ
r.3    φόρος λαχανιᾶς Παλέκτορος νομίσματα δ
r.4    ἐν κώμῃ Σενοκώμεως οὕτως·
r.5    παρὰ Ἐλᾶτος φροντιστοῦ ἀπὸ τῆς αὐτῆς [κ]ώμης Σενοκόμεως νομίσματα η 𐅷 εἰκοστὸν καὶ ὄγδοον
r.6    παρὰ Παμουθίου Παχεχοοῦτο[ς] καὶ Φοιβάμμωνος ἀπὸ τῆς αὐτῆς κώμης νομίσματα κ 𐅷 εἰκοστὸν καὶ ὄγδοον
r.7    παρὰ Ἀμμωνίου ἀπὸ τῆς αὐτῆς [κ]ώμης διὰ Ἰωάννου Μέλανος νομίσματα η
r.8    παρὰ Παμουθίου καὶ Βίκτορος [καὶ] Ἰωάννου καὶ Ἀβρααμί[ο]υ ἀπὸ τοῦ αὐτοῦ νομίσματα κα
r.9    παρὰ Ἐρᾶ Ἀνουθίου ἀπὸ τῆς α[ὐτῆς] κώμης νομίσματα κγ 𐅵
r.10   παρὰ Ἰωάννου Μέλανος ἀπὸ τῆ[ς α]ὐτῆς κώμης νομίσματα ιη
r.11   καὶ ἀπὸ ἀγορασίας Ἡρακλ[είο]υ κώμης·
r.12   παρὰ Ἀπολλῶ Βιταλίου ἀπὸ τῆς α[ὐτῆ]ς κώμης νομίσματα η 𐅵 δ
r.13   παρὰ Ὀννοφρίου ἀπὸ τῆς αὐτῆ[ς] κώμης νομίσματα η 𐅵 κδ
r.14   παρὰ Ἀνουθίου Φιλέου διὰ Ἀβραα[μίου ἀπὸ] τῆς αὐτῆς κώμης νομίσματα θ
r.15   παρὰ Ἰωάννου πρεσβυτέρου καὶ κοινωνῶν διὰ Π … προνοητοῦ Ἀματήνης [νομίσματα ] … α
r.16   παρὰ Ἀπολλῶ Ὀννοφρίου ἀπὸ τ[ῆς αὐτῆς ][κώ]μης [νομίσματα] η δ
r.17   παρὰ Ἰσὰκ Παπνουθίου ἑτέρου [ἀπὸ τῆς αὐτῆς] κώμης [νομίσματα ] …
r.18   παρὰ Ἰωάννου καταμ ἀπὸ τ[ῆς αὐτῆς κώμης] [νομίσματα … ]
r.19   παρὰ Φοιβάμμωνος τέκτονος διὰ … ου [νομίσματα ] …
r.20   ἐποικίου Πεστᾶ … [ἀπὸ ][ἀγ]ορασίας τῶν υἱῶν Τουάνου.
r.21   παρὰ Σαρμάτου καὶ κοιν[ωνῶν] [διὰ ] … [ἀπὸ το]ῦ αὐτοῦ κτήματος Πεστᾶ σίτου καγκέλλῳ [ἀρταβ ] …
r.22   παρὰ Ἰωάννου πρεσβυτέρου διὰ … [ ἀπὸ τοῦ] αὐτοῦ …
r.23   [παρὰ ] … τος πρεσβυτέρου καὶ κοινωνῶν ἀπὸ Ἡρακλᾶ … σίτου καγκέλλῳ ἀρτάβαι ρξη δ χοίνικες ζ καὶ ἐ[κτὸς][ ῥοπῆς ] …
r.24   παρὰ … ρ … κα[ὶ] Παμουθίου διὰ Ἀταύλο[υ ] … ἀπὸ τοῦ αὐτοῦ σίτου ἀρτάβαι μϛ χοίνικες η καὶ ἐ[κτὸς][ ῥοπῆς] νομίσματα β γ μη ϙϛ
r.25   παρὰ τ[ῶν] αὐτῶν καὶ προκειμένων γεωργῶν [ἀ]π[ὸ τοῦ αὐτοῦ] κτήματος ἐκ[τὸς][ ῥοπῆς νομίσματα] … γ κδ μη ϙϛ
r.26   παρὰ τῶ[ν] αὐτῶν καὶ προκειμένων γεωργῶν ὑπὲρ τι[μῆς] στιππίου καὶ συντελείας κεφαλῆς [ἐκτὸς ῥοπῆς] νόμισμα α
r.27   παρὰ τῶ[ν] αὐτῶν καὶ προκειμένων γεωργῶν ὑπὲρ φόρου μυλαίου καὶ φόρου φοινίκων ἐκτὸς ῥ[ο]πῆς νόμισμα α δ
r.28   παρὰ τῶν αὐτῶν καὶ προκειμένων γεωργγῶν ὑπὲρ τιμῆς δέλφακος ἐκτὸς ῥοπῆς νομίσματος 𐅵 η μη
r.29   παρὰ τῶν αὐτῶν καὶ προκειμένων γεωργῶν ὑπὲρ ἀποτάκτου χωρίου ἐκτὸς ῥοπῆς νομίσματα ζ 𐅵
r.30   ἐν τῇ Νοτινῇ Παρορίου.
r.31   παρὰ Ἰ[σ]ὰκ καὶ Θεοφίλου καὶ κοινωνῶν ἀπὸ ἐποικίου Λιθίνης ἐκτὸς ῥοπῆς νομίσματα ε ϛ κδ
r.32   παρὰ Ἰ[ωά]ννου καὶ κοινωνῶν ἀπὸ ἐποικίου Σοφροσύνης ἐκτὸς ῥοπῆς νομίσματα β 𐅵 η
r.33   παρὰ Ἀ[πολ]λῶ καὶ κοινωνῶν ἀπὸ Πεκτή ἐκτὸς ῥοπῆς νομίσματα γ γ κδ ϙϛ
r.34   παρὰ Ἀ[σ]κλᾶ ἀπὸ Παγγύλεως ἐκτὸς ῥοπῆς νομίσματα β ιβ
r.35   ἐν κώμῃ Ταμπέμ[ου]·
r.36   παρὰ Ἀπολ[λ]ῶ ἀπὸ τῆς αὐτῆς κώμ[ης] σίτου καγκέλλῳ ἀρτάβαι ο
